HRIR;HRTF;Configuration;Description;Source;Credits;Points
none;Stereo downmix;Headphones;7.1 Surround downmixed to stereo;;Matt Gore, Jaakko Pasanen;
Basic delay;Basic delay;Headphones;"Basic delay shelf (minimal HRIR)
Completely artificial HRIR that sounds as close as possible to as ""stereo mix""/none.wav but improves positional cues for games that might otherwise not support headphone mixing.";https://sourceforge.net/p/hesuvi/discussion/general/thread/8189876f4d/;yellowonion;
A3D;A3D,Headphone mode;Headphones;HRTF from Aureal Vortex 2 - WIP v2;;"Aureal Semiconductor Inc
Recorded by mrpenguinb";
atmos;Dolby Atmos,for Headphones;Headphones;Dolby Atmos 7.1 virtual surround sound for headphones;;Dolby Laboratories, Inc.;
cmss_game;CMSS-3D,Headphone;Headphones;CMSS-3D in Game Mode on X-Fi Titanium ;;Creative Technology Ltd. Recorded by Sossaman;
DolbyAccess;Dolby Atmos,for Headphones;Headphones;;https://sourceforge.net/p/hesuvi/discussion/general/thread/e8001bc677/;Dolby Laboratories, Inc.;
dtshx;DTS,Headphone:X;Headphones;DTS Headphone:;;"DTS, Inc.
Recorded by StinkyToilet forum.xda-developers.com/ showthread.php?t=52976760";
SteamAudio;Steam Audio;Headphones;;https://sourceforge.net/p/hesuvi/discussion/general/thread/84c18cad12/;Valve Corporation;
dh+;Dolby Headphones Surround;Headphones;Dolby Headphone DH-1 Studio;;Dolby Laboratories, Inc.;
sbx100;SBX Pro Studio;Headphones;SBX Pro Studio (also known as BlasterX Acoustic Engine or THX TruStudio Pro) Surround 100;;Creative Technology Ltd. ;
sonic;Windows Sonic,for Headphones;Headphones;Windows Sonic 7.1 virtual surround sound for headphones (from Creators and April Update);;Microsoft Corporation;
waves;Waves Nx;Headphones;Waves NX;;Waves Audio Ltd.;
ooyh0;Out Of Your Head;Headphones;Out Of Your Head Genelec Studio Recording;;Darin Fong Audio;
razer;Razer Surround;Headphones;Razer Surround;;Razer Inc.;
Realtek;Realtek Headphone Virtualization;Headphones;Realtek 7.1 Headphone Virtualization;;Realtek Semiconductor Corp.;
ssc_ny;Spatial Sound Card;Headphones;"Spatial Sound Card with New York location and short room envelope
CAUTION: Do not use any upmix!";;New Audio Technology;
XearNoReverb;C-Media Xear 3D;Headphones;Xear No Reverb;https://mega.nz/file/zIkzDYjC#Tn20U2WJMUOLqOo4qf3Aaxl_XQZO54A14MMAIVbv8iE;C-Media Electronics, Inc.;
oal_dflt;OpenAL Soft,MIT,KEMAR;Headphones;"OpenAL Soft default HRTF with speaker angles of 30°, 90°, 135° and 0°
This is using the (mono) KEMAR set

[OpenAL Soft]
Latest MHR: https://raw.githubusercontent.com/kcat/openal-soft/master/hrtf/Default%20HRTF.mhr

[X3DAudio HRTF]
*Using SADIE_D02 as 96000 Hz HRTF since that sample rate is missing for the original and that SADIE HRTF uses the same dummy head (KEMAR)
Latest MHR: 
https://github.com/kcat/openal-soft/commit/6eadccc99d518912addf73b2b39b5cbdcbb2b086#diff-28f807ebcf7086d1eaff406dc9b7dc8a16ac839b2ca068d85aa30d2d5c1b7275";https://github.com/kcat/openal-soft/tree/master/hrtf;"Bill Gardner and Keith Martin of MIT Media Laboratory
kcat";
EAC_Default;EAC,Individualized HRTF Synthesis;Headphones;"EAC Default HRTF (35°-100°-150°)
Generate your own using this tool to improve accuracy.";https://github.com/davircarvalho/Individualized_HRTF_Synthesis;Davi Carvalho, Acoustic Engineering @ Federal University of Santa Maria - Brazil;
Mesh2HRTF_KEMAR;Mesh2HRTF,KEMAR;Headphones;KEMAR (with shoulders) generated with Mesh2HRTF, a free and robust HRTF generator.;;"Sergejs, Fabian Brinkmann
HRTF generated by terrainer
Converted by 3DJ";
SADIE_D01;SADIE,II;Headphones;Neumann KU 100 - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;8802
SADIE_D02;SADIE,II,KEMAR;Headphones;KEMAR - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;8802
SADIE_H03;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2818
SADIE_H04;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2818
SADIE_H05;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2818
SADIE_H06;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2818
SADIE_H07;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2818
SADIE_H08;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2818
SADIE_H09;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2114
SADIE_H10;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2114
SADIE_H11;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2114
SADIE_H12;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2114
SADIE_H13;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2114
SADIE_H14;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2114
SADIE_H15;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2114
SADIE_H16;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2114
SADIE_H17;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2114
SADIE_H18;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2114
SADIE_H19;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2114
SADIE_H20;SADIE,II;Headphones;Human Subject - Far-field HRTF;https://www.york.ac.uk/sadie-project/database.html;The Audio Lab, University of York, UK (Cal Armstrong, Lewis Thresh, Gavin Kearney) ;2114
